window_idx,i,j,satellite_i,satellite_j,peak_coherence,peak_delay_ns,mean_coherence,p95_coherence
0,5,34,,,1.8118760382236975e-19,-3626.6666666666665,1.450983601742115e-20,3.8921924465571795e-20
0,5,35,,,0.9293117388723772,-4010.666666666666,0.8241031834589427,0.8777556653892777
0,5,36,,,0.9293131163218377,-4010.666666666666,0.8241045333802157,0.877754443578832
0,5,37,,,0.9294157484471257,3093.333333333333,0.8240821590006376,0.8777341839293067
0,5,38,,,0.9295662371971654,-4010.666666666666,0.8242943396110661,0.8778483151992172
0,5,39,,,0.9943818701475975,-3600.0,0.9637282152306524,0.9758713227134248
0,5,40,,,0.9943818701475975,-3600.0,0.9637282152306524,0.9758713227134248
0,5,41,,,0.9943711187361487,-3600.0,0.9636991636146992,0.9758478908267082
0,5,42,,,0.9943692009974164,-3600.0,0.9636945013616437,0.9758439974527222
0,5,43,,,0.932167991311055,-3194.6666666666665,0.8286015076324026,0.8658262526925412
0,5,44,,,0.9321957206140499,-3194.6666666666665,0.828608771959484,0.8658230470688862
0,5,45,,,0.9322681677784692,-3194.6666666666665,0.8286854746601685,0.8658734138822184
0,5,46,,,0.9323976441655795,-3194.6666666666665,0.828855926812429,0.8659982992294503
0,5,47,,,0.9323976441655795,-3194.6666666666665,0.828855926812429,0.8659982992294503
0,5,48,,,0.9322678747809783,-3194.6666666666665,0.8286956962989871,0.8658807756701328
0,5,49,,,0.8889965202791621,-3194.6666666666665,0.7853000112207645,0.8313592774739218
0,6,7,,,1.0000000000000007,2320.0,1.0,1.0000000000000002
0,6,8,,,0.995440022974995,3306.6666666666665,0.8992977653289008,0.9253979615801153
0,6,9,,,0.9999999943083012,-3605.333333333333,0.9999999762761309,0.999999986786245
0,6,10,,,0.9999999943083012,-3605.333333333333,0.9999999762761309,0.999999986786245
0,6,11,,,2.2515911118753314e-21,3690.6666666666665,2.1899317997086405e-22,6.042443028173233e-22
0,6,12,,,2.2515911118753314e-21,3690.6666666666665,2.1899317997086405e-22,6.042443028173233e-22
0,6,13,,,2.2495370084343783e-21,3690.6666666666665,2.1934192727100354e-22,6.05521976646908e-22
0,6,14,,,2.2495370084343783e-21,3690.6666666666665,2.1934192727100354e-22,6.05521976646908e-22
0,6,15,,,2.2430916294394016e-21,3690.6666666666665,2.2098689270454888e-22,6.172280251426324e-22
0,6,16,,,1.515248979360155e-20,-3626.6666666666665,1.082937081660487e-21,3.1284513570144104e-21
0,6,17,,,1.5824484215376143e-20,-3626.6666666666665,1.0654622182240935e-21,3.1816975829264295e-21
0,6,18,,,1.5824484215376143e-20,-3626.6666666666665,1.0654622182240935e-21,3.1816975829264295e-21
0,6,19,,,1.4568777427709183e-20,-3626.6666666666665,1.0931296407547924e-21,3.0712934400457523e-21
0,6,20,,,1.648876166032528e-20,-3626.6666666666665,1.0550039632372992e-21,3.2111794048076627e-21
0,6,21,,,1.648876166032528e-20,-3626.6666666666665,1.0550039632372992e-21,3.2111794048076627e-21
0,6,22,,,0.9692396700181394,-3631.9999999999995,0.6587741289026466,0.7592069573880441
0,6,23,,,0.9692728596679474,-3631.9999999999995,0.6582403493246197,0.7587575339774246
0,6,24,,,0.969240788639236,-3631.9999999999995,0.6586775200763065,0.7591365265275518
0,6,25,,,0.9692625088615041,-3631.9999999999995,0.6584567858819893,0.7589455034686167
0,6,26,,,0.9692625088615041,-3631.9999999999995,0.6584567858819893,0.7589455034686167
